Name,Type,IP
2012CLEANAPP1,QA,10.0.1.1
2012CLEANDB,QA,10.0.1.2
85R3SP1,QA,10.0.1.3
85R4-LONGEVITY,QA,10.0.1.4
86R2CLEAN-APP,QA,10.0.1.5
86R2CLEAN-DB,QA,10.0.1.6
86R2ESCALATION,QA,10.0.1.7
86R2INSTALLER,QA,10.0.1.8
86R2-UPGRADE1,QA,10.0.1.9
86R2-UPGRADE2,QA,10.0.1.10
86R3HOTFIX,QA,10.0.1.11
87BRANCH,QA,10.0.1.12
87BRANCH1,QA,10.0.1.13
PAVELSANDBOX,BR,10.0.1.14
87COMBO-HF209,QA,10.0.1.15
87CP1PERF-APP,QA,10.0.1.16
87CP1PERF-APP2,QA,10.0.1.17
87CP1PERF-DB,DEV,10.0.2.1
87MIGRATION,DEV,10.0.2.2
88-ALERTRF,DEV,10.0.2.3
ADB,DEV,10.0.2.4
AETC,DEV,10.0.2.5
AETC-DB,DEV,10.0.2.6
AFRCENSA01,DEV,10.0.2.7
AFRCENSA02,DEV,10.0.2.8
ALERT1,DEV,10.0.2.9
